,state,up,right,down,left,latitude,longitude
,AK,,WA,WA,,61.385,-152.2683
,AL,TE,GA,FL,MS,32.799,-86.8073
,AR,MO,TN,LA,OK,34.9513,-92.3809
,AZ,UT,NM,,CA,33.7712,-111.3877
,CA,OR,NV,HI,HI,36.17,-119.7462
,CO,WY,KS,NM,UT,39.0646,-105.3272
,CT,MA,RI,NY,NY,41.5834,-72.7622
,DC,MD,MD,VA,VA,38.8964,-77.0262
,DE,PA,NJ,MD,MD,39.3498,-75.5148
,FL,GA,,,AL,27.8333,-81.717
,GA,TN,SC,FL,AL,32.9866,-83.6487
,HI,CA,CA,,,21.1098,-157.5311
,IA,MN,IL,MO,NE,42.0046,-93.214
,ID,MT,WY,UT,OR,44.2394,-114.5103
,IL,WI,IN,KY,MO,40.3363,-89.0022
,IN,MI,OH,KY,IL,39.8647,-86.2604
,KS,NE,MO,OK,CO,38.5111,-96.8005
,KY,IN,WV,TE,MO,37.669,-84.6514
,LA,AK,MS,,TX,31.1801,-91.8749
,MA,VT,,RI,NY,42.2373,-71.5314
,MD,PA,DE,VA,WV,39.0724,-76.7902
,ME,,,NH,NH,44.6074,-69.3977
,MI,,NY,OH,WI,43.3504,-84.5603
,MN,,WI,IO,ND,45.7326,-93.9196
,MO,IO,IL,AK,KN,38.4623,-92.302
,MS,TN,AL,LA,AK,32.7673,-89.6812
,MT,,ND,WY,ID,46.9048,-110.3261
,NC,VA,,SC,TN,35.6411,-79.8431
,ND,,MN,SD,MT,47.5362,-99.793
,NE,SD,IO,KN,WY,41.1289,-98.2883
,NH,ME,ME,MA,VT,43.4108,-71.5653
,NJ,NY,CT,DE,PA,40.314,-74.5089
,NM,CO,TX,TX,AZ,34.8375,-106.2371
,NV,OR,UT,AZ,CA,38.4199,-117.1219
,NY,,VT,PA,MI,42.1497,-74.9384
,OH,MI,PA,KY,IN,40.3736,-82.7755
,OK,KN,AK,TX,NM,35.5376,-96.9247
,OR,WA,ID,CA,,44.5672,-122.1269
,PA,NY,NJ,MD,OH,40.5773,-77.264
,RI,MA,MA,,CT,41.6772,-71.5101
,SC,NC,NC,GA,GA,33.8191,-80.9066
,SD,ND,MN,NE,WY,44.2853,-99.4632
,TN,KY,NC,AL,AK,35.7449,-86.7489
,TX,OK,LA,,NM,31.106,-97.6475
,UT,ID,CO,AZ,NV,40.1135,-111.8535
,VA,WV,MD,NC,WV,37.768,-78.2057
,VT,,NH,MA,NY,44.0407,-72.7093
,WA,AK,ID,OR,AK,47.3917,-121.5708
,WI,MN,MI,IL,MN,44.2563,-89.6385
,WV,PA,VA,VA,OH,38.468,-80.9696
,WY,MT,SD,CO,ID,42.7475,-107.2085
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,